message,author,date,url
"bro I fucking gave up and just used copilot to fix it, if it don't work blame copilot",VisAwesme,2025-05-12T09:39:35.000-04:00,https://github.com/NetKnightsClub/NetKnights-Website/commit/00d2041d15f0e50241e5ddd9ab754d54985075d1
"Used copilot to fix the code

Seeing if Copilot can fix the iframe resize script.",Barb Denney,2025-04-22T15:44:48.000-06:00,https://github.com/department-of-veterans-affairs/vets-design-system-documentation/commit/9e6464ade983be3b40779124b389a93ea89e37ab
Used Copilot to upgrade the webinterface,Lane,2025-05-04T21:57:04.000-05:00,https://github.com/LaneDewald/FinalProjectLaneDewald/commit/acb8871708ab0bccf2fc6c55ada7b3e44fc7f0bc
used copilot to comment two files,Simon_Hallefält,2025-05-13T11:28:13.000+02:00,https://github.com/SimonHallefelt/Multi-Agent-Simulation/commit/fa96516166b17bec68c210b6d7019cee268cecb9
paintakingly used copilot to update font size,JadedPigeon,2025-05-10T20:06:04.000-04:00,https://github.com/JadedPigeon/Zudoku/commit/bc5ab0995f50a01a6643b46e4aae4f47de9cf517
"Create Game.py

I used copilot to write the code.",Meep439,2025-05-12T06:44:10.000-04:00,https://github.com/Meep439/Jump/commit/8e11b7d5347e6b1944720dca424870bd17213430
used copilot to optimize input polling,Dani S,2025-05-09T18:43:04.000-04:00,https://github.com/danifunker/usbode/commit/2bba015b7a6c24ed075267b2d0e5efdbd8190ea0
Used copilot to add comments to the code,Mauricio,2025-04-27T13:47:07.000-04:00,https://github.com/MauricioGamboa00/Coding-Project-21/commit/8034f16277bb66b53eeed21d9f5a553036da83f5
Used Copilot to update the code,Morten Freberg,2025-05-03T22:27:40.000+02:00,https://github.com/frebergguru/Seats-pdo-intl/commit/68b941fdd0e8f1737cac0a765d4d937914328174
"Add detailed README file

used copilot to make a readme

---

For more details, open the [Copilot Workspace session](https://copilot-workspace.githubnext.com/danielKinny/mun-hub?shareId=XXXX-XXXX-XXXX-XXXX).",daniel kinny,2025-03-30T20:29:39.000+04:00,https://github.com/danielKinny/mun-hub/commit/5078ad080a069882df920abbc4f0fc7f52d8fc8b
"Finish challenge

Used copilot to ease the learning process",Muhammad Pauzi,2025-05-01T22:37:01.000+08:00,https://github.com/4glightning/qr-code-component-main/commit/131c3860c587f123b970e95e60e6a2b201ba6aef
used copilot to streamline and modernize my janky old stuff,Charity Helms,2025-04-29T12:59:18.000-04:00,https://github.com/aemsites/frequent-alerters/commit/d1fd26b5acaab774a0a11298d3bcb00266849902
